City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,-9.8,99,100,11.81,light snow
80,George Town,MY,5.4112,100.3354,77.9,81,20,0,few clouds
81,Arlit,NE,18.7369,7.3853,69.67,16,6,8.37,clear sky
82,Katsuura,JP,35.1333,140.3,57.18,84,99,15.88,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,-22.68,99,100,1.54,overcast clouds
84,Miami,US,25.7743,-80.1937,75.99,94,20,4.61,few clouds
85,Novo Aripuana,BR,-5.1206,-60.3797,75.79,96,75,2.37,moderate rain
86,Vage,NO,60.0469,5.5178,35.31,63,100,11.48,overcast clouds
87,Bredasdorp,ZA,-34.5322,20.0403,51.28,80,8,3.18,clear sky
88,Avarua,CK,-21.2078,-159.775,80.65,89,75,3.44,light rain
89,Praxedis Guerrero,MX,31.3667,-106.0167,57.42,33,0,6.64,clear sky
90,Chapais,CA,49.7834,-74.8492,20.98,96,100,12.19,light snow
91,Castro,BR,-24.7911,-50.0119,60.24,97,69,8.86,broken clouds
92,Surgut,RU,61.25,73.4167,-32.62,68,0,4.47,clear sky
93,Yulara,AU,-25.2406,130.9889,78.64,44,19,16.11,few clouds
94,Ambon,ID,-3.6954,128.1814,84.34,79,40,1.14,scattered clouds
95,Tianpeng,CN,30.9866,103.9393,50.47,93,100,2.08,overcast clouds
96,Mahebourg,MU,-20.4081,57.7,78.26,78,20,5.75,few clouds
97,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,5.75,scattered clouds
98,Silver City,US,32.7701,-108.2803,55.69,27,1,6.91,clear sky
99,Dalvik,IS,65.9702,-18.5286,31.93,90,91,9.22,overcast clouds
100,Lensk,RU,60.7253,114.9278,-15.43,100,26,3.74,scattered clouds
101,Arraial Do Cabo,BR,-22.9661,-42.0278,73.11,88,65,9.69,broken clouds
102,Segou,ML,13.4317,-6.2157,73.87,15,18,10.09,few clouds
103,Hithadhoo,MV,-0.6,73.0833,81.95,76,56,17.52,broken clouds
104,Coahuayana,MX,18.7333,-103.6833,92.68,66,37,2.93,scattered clouds
105,Arman,RU,59.7,150.1667,9.79,72,100,7.85,overcast clouds
106,Yankton,US,42.8711,-97.3973,17.85,49,1,3.44,clear sky
107,Hobart,AU,-42.8794,147.3294,58.01,67,75,1.99,broken clouds
108,Cockburn Town,TC,21.4612,-71.1419,80.73,80,68,19.48,broken clouds
109,Crofton,US,39.0018,-76.6875,66.69,79,90,12.66,overcast clouds
110,Geraldton,AU,-28.7667,114.6,84.61,32,0,11.5,clear sky
111,Barrow,US,71.2906,-156.7887,24.82,74,90,17.27,overcast clouds
112,Miquelon,PM,47.0975,-56.3814,40.48,66,82,29.68,broken clouds
113,Saskylakh,RU,71.9167,114.0833,-15.18,96,98,6.87,overcast clouds
114,Araouane,ML,18.9048,-3.5265,65.03,14,85,11.1,overcast clouds
115,Batagay-Alyta,RU,67.8006,130.4114,-37.37,91,100,5.64,overcast clouds
116,Riverton,US,40.5219,-111.9391,47.44,53,90,3,overcast clouds
117,Souillac,MU,-20.5167,57.5167,78.37,78,20,5.75,few clouds
118,Maryville,US,35.7565,-83.9705,46.67,82,90,1.01,overcast clouds
119,Nome,US,64.5011,-165.4064,24.87,86,90,18.41,light snow
120,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,75,19.57,broken clouds
121,Canutama,BR,-6.5339,-64.3831,73.4,100,100,1.74,moderate rain
122,Segezha,RU,63.7415,34.3222,9.97,85,31,8.97,scattered clouds
123,Lasa,IT,46.6166,10.7002,26.69,68,58,3.53,broken clouds
124,Awbari,LY,26.5921,12.7805,45.5,44,0,9.82,clear sky
125,Nishihara,JP,26.1842,127.7558,69.08,73,20,8.05,few clouds
126,Ola,RU,59.5833,151.2833,12.76,94,100,15.66,snow
127,Cherskiy,RU,68.75,161.3,-24.34,97,100,4.21,overcast clouds
128,Punta Arenas,CL,-53.15,-70.9167,51.12,85,100,15.9,light rain
129,Ilulissat,GL,69.2167,-51.1,9.75,82,93,5.19,overcast clouds
130,Kruisfontein,ZA,-34.0033,24.7314,59.88,96,61,4.03,broken clouds
131,Andenes,NO,69.3143,16.1194,21.18,73,33,12.66,scattered clouds
132,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,25.32,broken clouds
133,Half Moon Bay,US,37.4636,-122.4286,56.59,89,1,5.75,mist
134,Lianran,CN,24.9227,102.485,46.94,92,40,2.98,scattered clouds
135,Dingle,PH,10.9995,122.6711,77.22,83,97,7.16,overcast clouds
136,Isangel,VU,-19.55,169.2667,86.11,70,75,9.22,broken clouds
137,Berlevag,NO,70.8578,29.0864,23.09,89,98,13.24,overcast clouds
138,Bonfim,BR,3.0833,-59.95,80.46,71,92,8.48,overcast clouds
139,Verkhoyansk,RU,67.5447,133.385,-42.09,92,77,3.76,broken clouds
140,Coshocton,US,40.272,-81.8596,34.14,67,35,5.99,scattered clouds
141,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,22,10.02,few clouds
142,Arcata,US,40.8665,-124.0828,52.41,76,90,3.44,overcast clouds
143,Fayaoue,NC,-20.65,166.5333,80.82,76,5,7.31,clear sky
144,Soe,ID,-9.8607,124.284,75.13,78,97,1.77,overcast clouds
145,Novoilinsk,RU,51.6829,108.7143,5.67,94,15,1.74,few clouds
146,Khatanga,RU,71.9667,102.5,-6.84,98,100,8.19,overcast clouds
147,Loralai,PK,30.3705,68.598,42.4,39,0,2.24,clear sky
148,Hilo,US,19.7297,-155.09,80.28,93,90,14.97,moderate rain
149,Iqaluit,CA,63.7506,-68.5145,10.13,66,75,5.01,broken clouds
150,Broome,US,42.2506,-75.833,42.98,82,90,4,light rain
151,Lompoc,US,34.6391,-120.4579,66.11,81,1,10.36,mist
152,Chipinge,ZW,-20.1883,32.6236,68.18,83,83,0.36,broken clouds
153,Englehart,CA,47.8169,-79.8664,17.62,79,90,21.85,light snow
154,San Policarpo,PH,12.1791,125.5072,80.04,84,98,14.88,overcast clouds
155,Maniitsoq,GL,65.4167,-52.9,23.23,54,100,17.18,light snow
156,Komsomolskiy,UZ,40.4272,71.7189,36.82,80,75,6.91,mist
157,Narsaq,GL,60.9167,-46.05,18.19,60,70,18.05,broken clouds
158,Mnogovershinnyy,RU,53.9353,139.9242,10.29,65,81,17.65,broken clouds
159,Payson,US,40.0444,-111.7321,50,63,90,0,overcast clouds
160,Catamarca,AR,-28.4696,-65.7852,77.05,61,17,16.46,few clouds
161,Tangua,BR,-22.7303,-42.7142,76.68,97,49,3.42,scattered clouds
162,Bakchar,RU,57.0186,82.0711,25.29,96,100,7.9,light snow
163,Luderitz,NA,-26.6481,15.1594,61.81,82,0,17.34,clear sky
164,Lebu,CL,-37.6167,-73.65,58.14,87,9,12.17,clear sky
165,Provideniya,RU,64.3833,-173.3,14.11,79,90,13.42,light snow
166,Cordoba,AR,-31.4135,-64.1811,77.85,57,20,6.91,few clouds
167,Lusambo,CD,-4.9667,23.45,70.11,96,99,0.36,overcast clouds
168,Whitehorse,CA,60.7161,-135.0538,2.17,85,90,16.11,overcast clouds
169,Te Anau,NZ,-45.4167,167.7167,61.7,53,12,2.48,few clouds
170,Bandarbeyla,SO,9.4942,50.8122,74.5,66,11,14.54,few clouds
171,Ambilobe,MG,-13.2,49.05,73.67,75,12,4.21,few clouds
172,Esperance,AU,-33.8667,121.9,62.44,56,32,14.88,scattered clouds
173,Georgetown,MY,5.4112,100.3354,77.9,81,20,0,few clouds
174,Chittaurgarh,IN,24.8833,74.6333,60.8,68,0,6.38,clear sky
175,Mezhdurechensk,RU,53.6942,88.0603,27.91,91,100,3.36,overcast clouds
